annee,theme,id_caracteristiques,nom_caracteristiques,chiffre_total,chiffre_hommes,chiffre_femmes
2016,Population et logements,1,Population; 2016,29120,,
2016,Population et logements,2,Population; 2011,25571,,
2016,Population et logements,3,Variation en pourcentage de la population; 2011 à 2016,13.9,,
2016,Population et logements,4,Total des logements privés,11546,,
2016,Population et logements,5,Logements privés occupés par des résidents habituels,11246,,
2016,Population et logements,6,Densité de la population au kilomètre carré,1158.7,,
2016,Population et logements,7,Superficie des terres en kilomètres carrés,25.13,,
2016,Caractéristiques selon l'âge,8,Total - Groupes d'âge et âge moyen de la population - Données intégrales (100 %),29120,14165,14955
2016,Caractéristiques selon l'âge,9,  0 à 14 ans,6300,3130,3170
2016,Caractéristiques selon l'âge,10,    0 à 4 ans,2105,1050,1050
2016,Caractéristiques selon l'âge,11,    5 à 9 ans,2280,1145,1130
2016,Caractéristiques selon l'âge,12,    10 à 14 ans,1920,930,985
2016,Caractéristiques selon l'âge,13,  15 à 64 ans,19300,9430,9865
2016,Caractéristiques selon l'âge,14,    15 à 19 ans,1725,825,900
2016,Caractéristiques selon l'âge,15,    20 à 24 ans,1640,865,775
2016,Caractéristiques selon l'âge,16,    25 à 29 ans,1485,705,785
2016,Caractéristiques selon l'âge,17,    30 à 34 ans,2190,1060,1130
2016,Caractéristiques selon l'âge,18,    35 à 39 ans,2550,1220,1325
2016,Caractéristiques selon l'âge,19,    40 à 44 ans,2250,1095,1155
2016,Caractéristiques selon l'âge,20,    45 à 49 ans,1975,980,995
2016,Caractéristiques selon l'âge,21,    50 à 54 ans,2135,1050,1090
2016,Caractéristiques selon l'âge,22,    55 à 59 ans,1910,910,1000
2016,Caractéristiques selon l'âge,23,    60 à 64 ans,1440,720,720
2016,Caractéristiques selon l'âge,24,  65 ans et plus,3520,1605,1915
2016,Caractéristiques selon l'âge,25,    65 à 69 ans,1240,585,655
2016,Caractéristiques selon l'âge,26,    70 à 74 ans,925,445,480
2016,Caractéristiques selon l'âge,27,    75 à 79 ans,590,280,315
2016,Caractéristiques selon l'âge,28,    80 à 84 ans,410,175,235
2016,Caractéristiques selon l'âge,29,    85 ans et plus,355,125,230
2016,Caractéristiques selon l'âge,30,      85 à 89 ans,235,90,145
2016,Caractéristiques selon l'âge,31,      90 à 94 ans,95,30,65
2016,Caractéristiques selon l'âge,32,      95 à 99 ans,20,5,20
2016,Caractéristiques selon l'âge,33,      100 ans et plus,5,0,5
2016,Caractéristiques selon l'âge,34,Total - Répartition (%) de la population par grands groupes d'âge - Données intégrales (100 %),100.0,100.0,100.0
2016,Caractéristiques selon l'âge,35,  0 à 14 ans,21.6,22.1,21.2
2016,Caractéristiques selon l'âge,36,  15 à 64 ans,66.3,66.6,66.0
2016,Caractéristiques selon l'âge,37,  65 ans et plus,12.1,11.3,12.8
2016,Caractéristiques selon l'âge,38,    85 ans et plus,1.2,0.9,1.5
2016,Caractéristiques selon l'âge,39,Âge moyen de la population,37.2,36.7,37.7
2016,Caractéristiques selon l'âge,40,Âge médian de la population,37.4,37.1,37.7
2016,Caractéristiques des ménages et des logements,41,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),11250,,
2016,Caractéristiques des ménages et des logements,42,  Maison individuelle non attenante,6320,,
2016,Caractéristiques des ménages et des logements,43,  Appartement dans un immeuble de cinq étages ou plus,0,,
2016,Caractéristiques des ménages et des logements,44,  Autre logement attenant,4920,,
2016,Caractéristiques des ménages et des logements,45,    Maison jumelée,790,,
2016,Caractéristiques des ménages et des logements,46,    Maison en rangée,290,,
2016,Caractéristiques des ménages et des logements,47,    Appartement ou plain-pied dans un duplex,265,,
2016,Caractéristiques des ménages et des logements,48,    Appartement dans un immeuble de moins de cinq étages,3550,,
2016,Caractéristiques des ménages et des logements,49,    Autre maison individuelle attenante,30,,
2016,Caractéristiques des ménages et des logements,50,  Logement mobile,0,,
2016,Caractéristiques des ménages et des logements,51,Total - Ménages privés selon la taille du ménage - Données intégrales (100 %),11245,,
2016,Caractéristiques des ménages et des logements,52,  1 personne,2735,,
2016,Caractéristiques des ménages et des logements,53,  2 personnes,3625,,
2016,Caractéristiques des ménages et des logements,54,  3 personnes,2015,,
2016,Caractéristiques des ménages et des logements,55,  4 personnes,2050,,
2016,Caractéristiques des ménages et des logements,56,  5 personnes ou plus,830,,
2016,Caractéristiques des ménages et des logements,57,Nombre de personnes dans les ménages privés,28635,,
2016,Caractéristiques des ménages et des logements,58,Taille moyenne des ménages privés,2.5,,
2016,État matrimonial,59,Total - État matrimonial pour la population âgée de 15 ans et plus - Données intégrales (100 %),22820,11040,11785
2016,État matrimonial,60,  Marié ou vivant en union libre,14110,7040,7075
2016,État matrimonial,61,    Marié,7285,3640,3645
2016,État matrimonial,62,    Vivant en union libre,6825,3400,3425
2016,État matrimonial,63,  Non marié et ne vivant pas en union libre,8710,3995,4710
2016,État matrimonial,64,    Jamais marié,6075,3075,3005
2016,État matrimonial,65,    Séparé,290,140,155
2016,État matrimonial,66,    Divorcé,1410,555,855
2016,État matrimonial,67,    Veuf,930,230,700
2016,Caractéristiques de la famille,68,Total - Familles de recensement dans les ménages privés selon la taille de la famille - Données intégrales (100 %),8385,,
2016,Caractéristiques de la famille,69,  2 personnes,3700,,
2016,Caractéristiques de la famille,70,  3 personnes,1985,,
2016,Caractéristiques de la famille,71,  4 personnes,2000,,
2016,Caractéristiques de la famille,72,  5 personnes ou plus,695,,
2016,Caractéristiques de la famille,73,Taille moyenne des familles de recensement,3.0,,
2016,Caractéristiques de la famille,74,Total - Familles de recensement dans les ménages privés - Données intégrales (100 %),8385,,
2016,Caractéristiques de la famille,75,  Total des familles comptant un couple,6930,,
2016,Caractéristiques de la famille,76,    Couples mariés,3525,,
2016,Caractéristiques de la famille,77,    Couples en union libre,3405,,
2016,Caractéristiques de la famille,78,  Total des familles monoparentales selon le sexe du parent,1455,,
2016,Caractéristiques de la famille,79,    Parent de sexe féminin,1030,,
2016,Caractéristiques de la famille,80,    Parent de sexe masculin,430,,
2016,Caractéristiques de la famille,81,Total - Familles de recensement comptant un couple dans les ménages privés - Données intégrales (100 %),6930,,
2016,Caractéristiques de la famille,82,  Couples sans enfants,2915,,
2016,Caractéristiques de la famille,83,  Couples avec enfants,4020,,
2016,Caractéristiques de la famille,84,    1 enfant,1450,,
2016,Caractéristiques de la famille,85,    2 enfants,1885,,
