annee,theme,id_caracteristiques,nom_caracteristique,chiffre_total,chiffre_hommes,chiffre_femmes,taux_total,taux_hommes,taux_femmes
2021,Population et logements,1,"Population, 2021",31444,,,,,
2021,Population et logements,2,"Population, 2016",29120,,,,,
2021,Population et logements,3,"Variation en pourcentage de la population, 2016 à 2021",8.0,,,8.0,,
2021,Population et logements,4,Total des logements privés,12609,,,,,
2021,Population et logements,5,Logements privés occupés par des résidents habituels,12405,,,,,
2021,Population et logements,6,Densité de la population au kilomètre carré,1253.7,,,1253.7,,
2021,Population et logements,7,Superficie des terres en kilomètres carrés,25.08,,,,,
2021,Caractéristiques selon l'âge,8,Total - Groupes d'âge de la population - Données intégrales (100 %),31445,15360,16085,100.0,100.0,100.0
2021,Caractéristiques selon l'âge,9,  0 à 14 ans,6730,3430,3300,21.4,22.3,20.5
2021,Caractéristiques selon l'âge,10,    0 à 4 ans,1935,1000,940,6.2,6.5,5.8
2021,Caractéristiques selon l'âge,11,    5 à 9 ans,2425,1230,1200,7.7,8.0,7.5
2021,Caractéristiques selon l'âge,12,    10 à 14 ans,2365,1210,1160,7.5,7.9,7.2
2021,Caractéristiques selon l'âge,13,  15 à 64 ans,20200,9900,10300,64.2,64.5,64.0
2021,Caractéristiques selon l'âge,14,    15 à 19 ans,1790,900,885,5.7,5.9,5.5
2021,Caractéristiques selon l'âge,15,    20 à 24 ans,1310,665,645,4.2,4.3,4.0
2021,Caractéristiques selon l'âge,16,    25 à 29 ans,1560,785,775,5.0,5.1,4.8
2021,Caractéristiques selon l'âge,17,    30 à 34 ans,2005,925,1080,6.4,6.0,6.7
2021,Caractéristiques selon l'âge,18,    35 à 39 ans,2650,1300,1355,8.4,8.5,8.4
2021,Caractéristiques selon l'âge,19,    40 à 44 ans,2790,1360,1430,8.9,8.9,8.9
2021,Caractéristiques selon l'âge,20,    45 à 49 ans,2255,1135,1125,7.2,7.4,7.0
2021,Caractéristiques selon l'âge,21,    50 à 54 ans,1920,970,950,6.1,6.3,5.9
2021,Caractéristiques selon l'âge,22,    55 à 59 ans,2060,1000,1060,6.6,6.5,6.6
2021,Caractéristiques selon l'âge,23,    60 à 64 ans,1865,870,995,5.9,5.7,6.2
2021,Caractéristiques selon l'âge,24,  65 ans et plus,4510,2030,2480,14.3,13.2,15.4
2021,Caractéristiques selon l'âge,25,    65 à 69 ans,1415,685,730,4.5,4.5,4.5
2021,Caractéristiques selon l'âge,26,    70 à 74 ans,1315,630,685,4.2,4.1,4.3
2021,Caractéristiques selon l'âge,27,    75 à 79 ans,825,405,420,2.6,2.6,2.6
2021,Caractéristiques selon l'âge,28,    80 à 84 ans,490,190,310,1.6,1.2,1.9
2021,Caractéristiques selon l'âge,29,    85 ans et plus,460,120,340,1.5,0.8,2.1
2021,Caractéristiques selon l'âge,30,      85 à 89 ans,280,90,190,0.9,0.6,1.2
2021,Caractéristiques selon l'âge,31,      90 à 94 ans,145,35,115,0.5,0.2,0.7
2021,Caractéristiques selon l'âge,32,      95 à 99 ans,30,5,30,0.1,0.0,0.2
2021,Caractéristiques selon l'âge,33,      100 ans et plus,5,0,5,0.0,0.0,0.0
2021,Caractéristiques selon l'âge,34,Total - Répartition (%) de la population par grands groupes d'âge - Données intégrales (100 %),100.0,100.0,100.0,100.0,100.0,100.0
2021,Caractéristiques selon l'âge,35,  0 à 14 ans,21.4,22.3,20.5,21.4,22.3,20.5
2021,Caractéristiques selon l'âge,36,  15 à 64 ans,64.2,64.5,64.0,64.2,64.5,64.0
2021,Caractéristiques selon l'âge,37,  65 ans et plus,14.3,13.2,15.4,14.3,13.2,15.4
2021,Caractéristiques selon l'âge,38,    85 ans et plus,1.5,0.8,2.1,1.5,0.8,2.1
2021,Caractéristiques selon l'âge,39,Âge moyen de la population,38.8,37.8,39.6,38.8,37.8,39.6
2021,Caractéristiques selon l'âge,40,Âge médian de la population,39.6,38.8,40.0,39.6,38.8,40.0
2021,Caractéristiques des ménages et des logements,41,Total - Logements privés occupés par type de construction résidentielle - Données intégrales (100 %),12405,,,100.0,,
2021,Caractéristiques des ménages et des logements,42,  Maison individuelle non attenante,6765,,,54.5,,
2021,Caractéristiques des ménages et des logements,43,  Maison jumelée,925,,,7.5,,
2021,Caractéristiques des ménages et des logements,44,  Maison en rangée,300,,,2.4,,
2021,Caractéristiques des ménages et des logements,45,  Appartement ou plain-pied dans un duplex,300,,,2.4,,
2021,Caractéristiques des ménages et des logements,46,  Appartement dans un immeuble de moins de cinq étages,4085,,,32.9,,
2021,Caractéristiques des ménages et des logements,47,  Appartement dans un immeuble de cinq étages ou plus,0,,,0.0,,
2021,Caractéristiques des ménages et des logements,48,  Autre maison individuelle attenante,25,,,0.2,,
2021,Caractéristiques des ménages et des logements,49,  Logement mobile,0,,,0.0,,
2021,Caractéristiques des ménages et des logements,50,Total - Ménages privés selon la taille du ménage - Données intégrales (100 %),12405,,,100.0,,
2021,Caractéristiques des ménages et des logements,51,  1 personne,3235,,,26.1,,
2021,Caractéristiques des ménages et des logements,52,  2 personnes,4105,,,33.1,,
2021,Caractéristiques des ménages et des logements,53,  3 personnes,2035,,,16.4,,
2021,Caractéristiques des ménages et des logements,54,  4 personnes,2135,,,17.2,,
2021,Caractéristiques des ménages et des logements,55,  5 personnes ou plus,895,,,7.2,,
2021,Caractéristiques des ménages et des logements,56,Nombre de personnes dans les ménages privés,30900,15230,15675,100.0,100.0,100.0
2021,Caractéristiques des ménages et des logements,57,Taille moyenne des ménages privés,2.5,,,2.5,,
2021,État matrimonial,58,Total - État matrimonial pour la population totale âgée de 15 ans et plus - Données intégrales (100 %),24715,11930,12785,100.0,100.0,100.0
2021,État matrimonial,59,  Marié ou vivant en union libre,15290,7620,7665,61.9,63.9,60.0
2021,État matrimonial,60,    Marié,7760,3870,3895,31.4,32.4,30.5
2021,État matrimonial,61,    Vivant en union libre,7525,3755,3775,30.4,31.5,29.5
2021,État matrimonial,62,      Vivant en union libre - Jamais marié,6250,3120,3135,25.3,26.2,24.5
2021,État matrimonial,63,      Vivant en union libre - Séparé,65,35,30,0.3,0.3,0.2
2021,État matrimonial,64,      Vivant en union libre - Divorcé,1095,545,545,4.4,4.6,4.3
2021,État matrimonial,65,      Vivant en union libre - Veuf (veuve),120,50,65,0.5,0.4,0.5
2021,État matrimonial,66,  Non marié et ne vivant pas en union libre,9420,4305,5115,38.1,36.1,40.0
2021,État matrimonial,67,    Non marié et ne vivant pas en union libre - Jamais marié,6535,3350,3190,26.4,28.1,25.0
2021,État matrimonial,68,    Non marié et ne vivant pas en union libre - Séparé,270,125,145,1.1,1.0,1.1
2021,État matrimonial,69,    Non marié et ne vivant pas en union libre - Divorcé,1505,550,950,6.1,4.6,7.4
2021,État matrimonial,70,    Non marié et ne vivant pas en union libre - Veuf (veuve),1115,280,830,4.5,2.3,6.5
2021,Caractéristiques de la famille,71,Total - Familles de recensement dans les ménages privés selon la taille de la famille - Données intégrales (100 %),9035,,,100.0,,
2021,Caractéristiques de la famille,72,  2 personnes,4155,,,46.0,,
2021,Caractéristiques de la famille,73,  3 personnes,2005,,,22.2,,
2021,Caractéristiques de la famille,74,  4 personnes,2125,,,23.5,,
2021,Caractéristiques de la famille,75,  5 personnes ou plus,745,,,8.2,,
2021,Caractéristiques de la famille,76,Taille moyenne des familles de recensement,3.0,,,3.0,,
2021,Caractéristiques de la famille,77,Nombre moyen d'enfants dans les familles de recensement avec enfants,1.8,,,1.8,,
2021,Caractéristiques de la famille,78,Total - Familles de recensement dans les ménages privés - Données intégrales (100 %),9035,,,100.0,,
2021,Caractéristiques de la famille,79,  Total des familles comptant un couple,7580,,,83.9,,
2021,Caractéristiques de la famille,80,    Couples mariés,3815,,,42.2,,
2021,Caractéristiques de la famille,81,      Avec enfants,1960,,,21.7,,
2021,Caractéristiques de la famille,82,      Sans enfants,1855,,,20.5,,
2021,Caractéristiques de la famille,83,    Couples en union libre,3765,,,41.7,,
2021,Caractéristiques de la famille,84,      Avec enfants,2270,,,25.1,,
2021,Caractéristiques de la famille,85,      Sans enfants,1495,,,16.5,,
2021,Caractéristiques de la famille,86,  Total des familles monoparentales,1455,,,16.1,,
2021,Caractéristiques de la famille,87,    dans laquelle le parent est une femme+,1025,,,11.3,,
2021,Caractéristiques de la famille,88,    dans laquelle le parent est un homme+,430,,,4.8,,
2021,Caractéristiques de la famille,89,Total - Personnes dans les ménages privés - Données intégrales (100 %),30900,15225,15675,100.0,100.0,100.0
2021,Caractéristiques de la famille,90,  Total - Personnes dans les familles de recensement,26755,13260,13495,86.6,87.1,86.1
2021,Caractéristiques de la famille,91,    Conjoints mariés ou de fait,15155,7565,7595,49.0,49.7,48.5
2021,Caractéristiques de la famille,92,    Parents dans les familles monoparentales,1455,430,1025,4.7,2.8,6.5
2021,Caractéristiques de la famille,93,    Enfants,10140,5270,4880,32.8,34.6,31.1
2021,Caractéristiques de la famille,94,      Dans une famille biparentale,7885,4070,3815,25.5,26.7,24.3
2021,Caractéristiques de la famille,95,      Dans une famille monoparentale,2255,1195,1065,7.3,7.8,6.8
2021,Caractéristiques de la famille,96,  Total - Personnes hors famille de recensement dans les ménages privés - Données intégrales (100 %),4140,1965,2175,13.4,12.9,13.9
2021,Caractéristiques de la famille,97,    Vivant seule,3235,1520,1715,10.5,10.0,10.9
2021,Caractéristiques de la famille,98,    Vivant avec d'autres personnes apparentées,425,170,260,1.4,1.1,1.7
2021,Caractéristiques de la famille,99,    Vivant avec des personnes non apparentées seulement,480,275,205,1.6,1.8,1.3
2021,Type de ménage,100,Total - Type de ménage - Données intégrales (100 %),12405,,,100.0,,
2021,Type de ménage,101,  Ménages comptant une seule famille de recensement sans personnes additionnelles,8485,,,68.4,,
2021,Type de ménage,102,    Ménages familiaux comptant un couple,7190,,,58.0,,
2021,Type de ménage,103,      Avec enfants,4025,,,32.4,,
2021,Type de ménage,104,      Sans enfants,3165,,,25.5,,
2021,Type de ménage,105,    Ménages familiaux monoparentaux,1295,,,10.4,,
2021,Type de ménage,106,  Ménages multigénérationnels,195,,,1.6,,
2021,Type de ménage,107,  Ménages comptant plusieurs familles de recensement,40,,,0.3,,
2021,Type de ménage,108,  Ménages comptant une seule famille de recensement avec des personnes additionnelles,200,,,1.6,,
2021,Type de ménage,109,  Ménages sans famille de recensement composés de deux personnes ou plus,250,,,2.0,,
2021,Type de ménage,110,  Ménages composés d'une seule personne,3235,,,26.1,,
2021,Revenu des particuliers en 2020,111,Total - Statistiques du revenu en 2020 pour la population âgée de 15 ans et plus dans les ménages privés - Données intégrales (100 %),24170,11795,12375,100.0,100.0,100.0
2021,Revenu des particuliers en 2020,112,  Nombre de bénéficiaires d'un revenu total âgés de 15 ans et plus dans les ménages privés en 2020 - Données intégrales (100 %),23585,11530,12055,97.6,97.8,97.4
2021,Revenu des particuliers en 2020,113,    Revenu total médian en 2020 parmi les bénéficiaires ($),51600,59200,46400,51600,59200,46400
2021,Revenu des particuliers en 2020,114,  Nombre de bénéficiaires d'un revenu après impôt en 2020 âgés de 15 ans et plus dans les ménages privés en 2020 - Données intégrales (100 %),23605,11540,12065,97.7,97.8,97.5
2021,Revenu des particuliers en 2020,115,    Revenu après impôt médian en 2020 parmi les bénéficiaires ($),44400,49200,40400,44400,49200,40400
2021,Revenu des particuliers en 2020,116,  Nombre de bénéficiaires d'un revenu du marché âgés de 15 ans et plus dans les ménages privés en 2020 - Données intégrales (100 %),22255,11055,11205,92.1,93.7,90.5
2021,Revenu des particuliers en 2020,117,    Revenu du marché médian en 2020 parmi les bénéficiaires ($),45600,54800,38000,45600,54800,38000
2021,Revenu des particuliers en 2020,118,  Nombre de bénéficiaires d'un revenu d'emploi âgés de 15 ans et plus dans les ménages privés en 2020 - Données intégrales (100 %),19125,9670,9445,79.1,82.0,76.3
2021,Revenu des particuliers en 2020,119,    Revenu d'emploi médian en 2020 parmi les bénéficiaires ($),48000,56800,42400,48000,56800,42400
2021,Revenu des particuliers en 2020,120,  Nombre de bénéficiaires de transferts gouvernementaux âgés de 15 ans et plus dans les ménages privés en 2020 - Données intégrales (100 %),17995,7855,10145,74.5,66.6,82.0
2021,Revenu des particuliers en 2020,121,    Transferts gouvernementaux médians en 2020 parmi les bénéficiaires ($),9400,8200,10200,9400,8200,10200
2021,Revenu des particuliers en 2020,122,  Nombre de bénéficiaires de prestations de l'assurance emploi âgés de 15 ans et plus dans les ménages privés en 2020 - Données intégrales (100 %),2695,1325,1375,11.2,11.2,11.1
2021,Revenu des particuliers en 2020,123,    Prestations de l'assurance emploi médianes en 2020 parmi les bénéficiaires ($),5680,5320,6160,5680,5320,6160
2021,Revenu des particuliers en 2020,124,  Nombre de bénéficiaires de COVID-19 prestations d'urgence et de relance économique âgés de 15 ans et plus dans les ménages privés en 2020 - Données intégrales (100 %),6400,3270,3130,26.5,27.7,25.3
2021,Revenu des particuliers en 2020,125,    COVID-19 prestations d'urgence et de relance économique médianes en 2020 parmi les bénéficiaires ($),6000,6000,7000,6000,6000,7000
